Urban agglomeration,Country,"Total 2010 population, thousands",pop below 1.5 rise level,pop below 2 rise level,pop below 3 rise level,pop below 4 rise level,percent pop below 1.5C,percent pop below 2C,percent pop below 3C,percent pop below 4,sea level rise (m) 1.5c,sea level rise (m) 2C,sea level rise (m) 3C,sea level rise (m) 4C
Portland2,United States,1312.72,4.24,8.84,15.08,28.90,0.00,0.01,0.01,0.02,2.89,4.70,6.28,8.47
Sacramento,United States,1647.94,141.31,250.12,364.51,527.54,0.09,0.15,0.22,0.32,2.91,4.74,6.37,8.65
San Diego,United States,2451.88,78.31,105.12,124.36,146.51,0.03,0.04,0.05,0.06,2.97,4.85,6.52,8.88
San Francisco1,United States,2312.96,292.83,394.70,486.25,595.59,0.13,0.17,0.21,0.26,3.00,4.89,6.57,8.93
San Jose3,United States,1955.45,191.62,261.20,326.32,382.42,0.10,0.13,0.17,0.20,2.98,4.86,6.53,8.88
Seattle,United States,2189.16,76.00,121.63,151.16,190.35,0.04,0.06,0.07,0.09,2.89,4.70,6.26,8.42
Tampa,United States,2160.18,233.19,436.24,624.69,867.14,0.11,0.20,0.29,0.40,2.96,4.83,6.44,8.68
Washington  D.C.,United States,6063.63,96.26,143.79,212.02,285.90,0.02,0.02,0.04,0.05,2.81,4.56,5.97,7.90
Montevideo,Uruguay,1675.28,72.93,116.99,166.34,203.28,0.04,0.07,0.10,0.12,2.87,4.68,6.50,9.08
Maracaibo,Venezuela,1838.81,80.94,111.13,138.51,194.75,0.04,0.06,0.08,0.11,2.98,4.86,6.56,8.95
Can Tho,Viet Nam,1092.57,750.51,976.02,1061.09,1088.35,0.69,0.89,0.97,1.00,3.11,5.08,6.92,9.54
Da Nang,Viet Nam,1115.13,58.77,148.48,320.37,714.39,0.05,0.13,0.29,0.64,3.06,5.01,6.83,9.41
Hanoi,Viet Nam,12703.15,1281.21,3553.37,5637.90,7597.71,0.10,0.28,0.44,0.60,2.98,4.87,6.64,9.15
Ho Chi Minh City,Viet Nam,9915.82,2853.16,4446.32,5628.86,6891.18,0.29,0.45,0.57,0.70,3.06,5.00,6.82,9.40
Nam Dinh,Viet Nam,4123.64,1286.55,2992.33,3785.95,4078.84,0.31,0.73,0.92,0.99,3.00,4.91,6.69,9.23
Ninh Binh,Viet Nam,1795.13,638.71,1267.33,1528.64,1644.29,0.36,0.71,0.85,0.92,3.00,4.91,6.69,9.23
Rach Gia,Viet Nam,1239.16,587.05,883.93,1076.38,1189.79,0.47,0.71,0.87,0.96,3.09,5.05,6.88,9.48
Thai Nguyen,Viet Nam,1136.46,0.22,2.67,12.70,58.67,0.00,0.00,0.01,0.05,2.97,4.85,6.61,9.12
Thanh Hoa,Viet Nam,2340.69,262.60,755.18,1248.63,1721.14,0.11,0.32,0.53,0.74,3.00,4.90,6.68,9.21
