Urban agglomeration,Country,"Total 2010 population, thousands",pop below 1.5 rise level,pop below 2 rise level,pop below 3 rise level,pop below 4 rise level,percent pop below 1.5C,percent pop below 2C,percent pop below 3C,percent pop below 4,sea level rise (m) 1.5c,sea level rise (m) 2C,sea level rise (m) 3C,sea level rise (m) 4C
Conakry,Guinea,1576.32,154.59,222.50,307.97,446.17,0.10,0.14,0.20,0.28,2.98,4.86,6.56,8.95
Port-au-Prince,Haiti,2383.28,182.43,253.27,299.89,362.70,0.08,0.11,0.13,0.15,3.04,4.96,6.65,9.03
Ahmadabad,India,7957.12,0.19,1.10,4.23,27.36,0.00,0.00,0.00,0.00,2.91,4.74,6.45,8.86
Brahmapur,India,1877.36,2.37,17.74,43.60,90.99,0.00,0.01,0.02,0.05,3.01,4.92,6.69,9.21
Calcutta,India,23760.38,2607.31,5586.35,8174.20,11990.04,0.11,0.24,0.34,0.51,3.01,4.92,6.70,9.22
Chennai,India,9206.43,454.67,1048.19,1845.40,3034.25,0.05,0.11,0.20,0.33,2.99,4.88,6.65,9.15
Cochin,India,5932.45,406.10,749.49,1167.61,2051.43,0.07,0.13,0.20,0.35,3.04,4.97,6.76,9.30
Cuttack,India,10491.55,332.20,751.79,1247.37,1925.16,0.03,0.07,0.12,0.18,3.01,4.91,6.69,9.21
Haldia,India,3135.42,1097.97,1969.58,2554.40,3018.01,0.35,0.63,0.82,0.96,3.03,4.95,6.74,9.28
Haora,India,11789.44,738.80,1880.59,3627.20,7032.89,0.06,0.16,0.31,0.60,3.01,4.92,6.70,9.23
Kakinada,India,2198.74,107.52,397.08,782.71,1178.04,0.05,0.18,0.36,0.54,3.00,4.90,6.67,9.18
Kanchipuram,India,1738.05,3.62,10.74,17.32,23.36,0.00,0.01,0.01,0.01,2.98,4.87,6.63,9.12
Kozhikode,India,9426.64,168.61,263.18,386.69,667.74,0.02,0.03,0.04,0.07,3.02,4.94,6.71,9.23
Krishnanagar,India,5207.01,0.87,6.70,34.68,121.51,0.00,0.00,0.01,0.02,2.97,4.85,6.61,9.09
Machilipatnam,India,1132.79,31.26,270.71,638.56,910.27,0.03,0.24,0.56,0.80,3.00,4.89,6.66,9.16
Madurai,India,7040.64,70.52,213.12,382.07,639.11,0.01,0.03,0.05,0.09,3.00,4.91,6.68,9.19
Mangalore,India,1058.51,12.93,39.43,88.07,150.47,0.01,0.04,0.08,0.14,3.02,4.93,6.71,9.23
Medinipur,India,6915.37,17.36,58.03,136.84,344.34,0.00,0.01,0.02,0.05,2.98,4.87,6.63,9.13
Mumbai,India,21719.11,3559.99,5829.63,8060.42,10840.48,0.16,0.27,0.37,0.50,2.99,4.88,6.64,9.13
Pondicherry,India,4855.11,112.49,270.95,459.48,899.57,0.02,0.06,0.10,0.19,2.99,4.89,6.66,9.16
Puri,India,1484.28,9.52,76.90,216.68,421.59,0.01,0.05,0.15,0.28,3.03,4.95,6.73,9.27
Rajahmundry,India,4166.02,0.71,8.92,61.06,247.71,0.00,0.00,0.02,0.06,2.98,4.87,6.63,9.12
Surat,India,5699.33,140.97,394.38,765.90,1277.68,0.03,0.07,0.13,0.22,2.95,4.81,6.54,8.98
Tiruchchirappalli,India,7869.47,98.92,251.64,417.82,675.88,0.01,0.03,0.05,0.09,3.00,4.90,6.66,9.17
Trivandrum,India,12621.69,557.50,792.77,1070.93,1661.20,0.04,0.06,0.09,0.13,3.07,5.02,6.83,9.40
Vadodara,India,4650.96,0.85,3.82,8.36,15.09,0.00,0.00,0.00,0.00,2.91,4.75,6.46,8.87
Vijayawada,India,5209.66,5.37,58.60,205.10,370.87,0.00,0.01,0.04,0.07,2.96,4.84,6.58,9.05
Visakhapatnam,India,2985.72,38.61,107.75,231.69,409.65,0.01,0.04,0.08,0.14,3.01,4.92,6.70,9.22
Cilacap,Indonesia,6025.30,233.10,482.90,746.59,1095.78,0.04,0.08,0.12,0.18,3.05,4.99,6.79,9.34
Jakarta,Indonesia,42644.74,2663.65,4961.30,7218.48,9528.24,0.06,0.12,0.17,0.22,3.07,5.01,6.82,9.38
Kotabumi,Indonesia,2395.33,28.60,61.25,86.62,126.31,0.01,0.03,0.04,0.05,3.04,4.97,6.77,9.31
Medan,Indonesia,5122.77,138.71,337.33,543.17,760.20,0.03,0.07,0.11,0.15,3.05,4.99,6.79,9.36
Padang,Indonesia,1185.67,115.22,271.40,509.48,700.55,0.10,0.23,0.43,0.59,3.03,4.95,6.74,9.28
Palembang,Indonesia,1876.90,37.55,193.33,665.16,1357.62,0.02,0.10,0.35,0.72,3.07,5.02,6.83,9.40
Pontianak,Indonesia,1019.56,468.27,893.53,999.44,1016.61,0.46,0.88,0.98,1.00,3.09,5.06,6.88,9.47
Praya,Indonesia,2903.00,22.76,48.28,90.51,186.79,0.01,0.02,0.03,0.06,3.09,5.05,6.86,9.44
Semarang,Indonesia,9360.43,385.65,969.35,1715.26,2604.56,0.04,0.10,0.18,0.28,3.06,5.00,6.80,9.36
Serang,Indonesia,3902.91,366.76,604.58,786.60,1066.21,0.09,0.16,0.20,0.27,3.07,5.03,6.84,9.41
Sukabumi,Indonesia,2312.38,25.86,56.58,86.36,126.77,0.01,0.02,0.04,0.06,3.05,4.99,6.79,9.34
Sumenep,Indonesia,1878.06,20.43,52.41,82.40,122.42,0.01,0.03,0.04,0.07,3.10,5.07,6.90,9.49
Surabaya,Indonesia,24681.93,1094.16,2700.16,4165.44,5499.47,0.04,0.11,0.17,0.22,3.07,5.02,6.83,9.40
